id,name,ms_id,distance,time_minute,ton_price,created_at,updated_at,km_fact,найдено,locality,region,type,population,coords,source,sourceID,route
38,Алексеевка 81 км Первомайский,a659c9e2-5c8e-11ea-0a80-052c001d8979,81,98,,2024-03-04 20:22:48,2024-03-04 20:22:48,74,да,Алексеевка,Первомайский,село,913,"45.581905,33.630440",yandex,177006,79.47
39,Алмазное 90 км Советский,a659cb26-5c8e-11ea-0a80-052c001d897a,99,119,,2024-03-04 20:22:48,2024-03-04 20:22:48,90,да,Алмазное,Советский,село,423,"45.3809032,34.8313077",dadata,,74.82
40,Алупка 125 км,a659cca8-5c8e-11ea-0a80-052c001d897b,125,150,,2024-03-04 20:22:49,2024-03-04 20:22:49,122,нет,Алупка,,,,"44.4164386,34.0445741",dadata,,59.29
41,Алушта 74 км,a659cde1-5c8e-11ea-0a80-052c001d897c,74,89,,2024-03-04 20:22:49,2024-03-04 20:22:49,72,нет,Алушта,,,,"44.676383,34.41005",geocode,,38.86
42,Амурское 23 км Красногвардейский,a659cf18-5c8e-11ea-0a80-052c001d897d,23,28,,2024-03-04 20:22:49,2024-03-04 20:22:49,24,да,Амурское,Красногвардейский,село,2687,"45.278393,34.129135",yandex,176627,36.78
43,Ана-Юрт 32 км Симферопольский,a659d053-5c8e-11ea-0a80-052c001d897e,32,39,,2024-03-04 20:22:49,2024-03-04 20:22:49,32,да,Ана-юрт,Симферопольский,село,243,"44.9959981,34.1413702",geocode,,6.21
44,Андрусово 37 км Симферопольский,a659d18c-5c8e-11ea-0a80-052c001d897f,37,45,,2024-03-04 20:22:49,2024-03-04 20:22:49,39,да,Андрусово,Симферопольский,село,886,"44.8913092,34.1790815",geocode,,8.86
45,Анновка 37 км Белогорский,a659d308-5c8e-11ea-0a80-052c001d8980,37,45,,2024-03-04 20:22:49,2024-03-04 20:22:49,37,да,Анновка,Белогорский,село,294,"45.2576707,34.3026195",geocode,,37.89
46,Антоновка 100 км Джанкойский,a659d47a-5c8e-11ea-0a80-052c001d8981,100,120,,2024-03-04 20:22:49,2024-03-04 20:22:49,117,да,Антоновка,Джанкойский,село,29,"45.6970539,34.7758092",geocode,,98.59
47,Апрелевка 97 км Джанкойский,a659d5bb-5c8e-11ea-0a80-052c001d8982,97,117,,2024-03-04 20:22:49,2024-03-04 20:22:49,113,да,Апрелевка,Джанкойский,село,281,"45.6881331,34.7396755",geocode,,96.26
48,Арбузовка 69 км Джанкойский,a659d718-5c8e-11ea-0a80-052c001d8983,69,83,,2024-03-04 20:22:49,2024-03-04 20:22:49,69,да,Арбузовка,Джанкойский,село,95,"45.626993,34.3341983",geocode,,77.65
49,Арбузово 80 км Первомайский,a659d857-5c8e-11ea-0a80-052c001d8984,80,96,,2024-03-04 20:22:49,2024-03-04 20:22:49,85,да,Арбузово,Первомайский,село,165,"45.7559081,33.8665609",geocode,,91.64
50,Аркадьевка 17 км Симферопольский,a659d993-5c8e-11ea-0a80-052c001d8985,17,21,,2024-03-04 20:22:49,2024-03-04 20:22:49,17,да,Аркадьевка,Симферопольский,село,512,"45.0358864,33.9142766",geocode,,17.58
51,Армейское 87 км Джанкойский,a659dad1-5c8e-11ea-0a80-052c001d8986,87,105,,2024-03-04 20:22:49,2024-03-04 20:22:49,94,да,Армейское,Джанкойский,село,175,"45.7672549,34.4792094",geocode,,95.75
52,Армянск 120 км,a659dc8a-5c8e-11ea-0a80-052c001d8987,120,144,,2024-03-04 20:22:49,2024-03-04 20:22:49,119,нет,Армянск,,,,"46.1140519,33.6876019",geocode,,133.54
53,Аромат 85 км Бахчисарайский,a659dea0-5c8e-11ea-0a80-052c001d8988,85,102,,2024-03-04 20:22:49,2024-03-04 20:22:49,83,да,Аромат,Бахчисарайский,село,330,"44.5775065,33.9390521",geocode,,43.14
54,Ароматное 48 км Белогорский,a659e000-5c8e-11ea-0a80-052c001d8989,48,58,,2024-03-04 20:22:49,2024-03-04 20:22:49,48,да,Ароматное,Белогорский,село,1772,"45.036457,34.399689",yandex,176502,25.5
55,Ароматное 55 км Бахчисарайский,a659e1a7-5c8e-11ea-0a80-052c001d898a,55,66,,2024-03-04 20:22:49,2024-03-04 20:22:49,57,да,Ароматное,Бахчисарайский,село,872,"44.802975,33.868858",yandex,176429,24.36
56,Артёмовка 128 км Черноморский,a659e314-5c8e-11ea-0a80-052c001d898b,128,154,,2024-03-04 20:22:50,2024-03-04 20:22:50,142,да,Артёмовка,Черноморский,село,216,"45.4681925,32.8229257",geocode,,115.56
57,Аэрофлотский 19 км Симферополь,a659e456-5c8e-11ea-0a80-052c001d898c,19,23,,2024-03-04 20:22:50,2024-03-04 20:22:50,19,да,Аэрофлотский,Симферополь,пгт,1768,"45.0193413,34.002412",geocode,,11.04
58,Бабенково 111 км Кировский,a659e58e-5c8e-11ea-0a80-052c001d898d,111,134,,2024-03-04 20:22:50,2024-03-04 20:22:50,111,да,Бабенково,Кировский,село,519,"45.095528,35.131100",yandex,216287,82.64
59,Багерово 216 км Ленинский,a659e6c8-5c8e-11ea-0a80-052c001d898e,216,260,,2024-03-04 20:22:50,2024-03-04 20:22:50,221,да,Багерово,Ленинский,пгт,4315,"45.378147,36.293716",yandex,27219,178.46
60,Баланово 46 км Белогорский,a659e80a-5c8e-11ea-0a80-052c001d898f,46,56,,2024-03-04 20:22:50,2024-03-04 20:22:50,47,да,Баланово,Белогорский,село,131,"45.001349,34.3324252",geocode,,19.19
61,Балки 59 км Белогорский,a659e9a2-5c8e-11ea-0a80-052c001d8990,59,71,,2024-03-04 20:22:50,2024-03-04 20:22:50,61,да,Балки,Белогорский,село,730,"44.9934921,34.457319",geocode,,28.53
62,Барабаново 46 км Белогорский,a659eb92-5c8e-11ea-0a80-052c001d8991,46,56,,2024-03-04 20:22:50,2024-03-04 20:22:50,0,да,Барабаново,Белогорский,село,97,"44.9805244,34.320193",geocode,,17.66
63,Батальное 147 км Ленинский,a659ecdd-5c8e-11ea-0a80-052c001d8992,147,177,,2024-03-04 20:22:50,2024-03-04 20:22:50,147,да,Батальное,Ленинский,село,1275,"45.194019,35.620609",yandex,176897,122.46
64,Бахчёвка 105 км Раздольненский,a659ee26-5c8e-11ea-0a80-052c001d8993,105,126,,2024-03-04 20:22:50,2024-03-04 20:22:50,105,да,Бахчёвка,Раздольненский,село,46,"45.6119352,33.4182619",geocode,,91.06
65,Бахчисарай 58 км Бахчисарайский,a659ef5f-5c8e-11ea-0a80-052c001d8994,58,70,,2024-03-04 20:22:50,2024-03-04 20:22:50,0,да,Бахчисарай,Бахчисарайский,город,26.572,"44.744999,33.848034",yandex,27217,30.1
66,Баштановка 66 км Бахчисарайский,a659f10d-5c8e-11ea-0a80-052c001d8995,66,80,,2024-03-04 20:22:50,2024-03-04 20:22:50,0,да,Баштановка,Бахчисарайский,село,212,"44.6886174,33.8949502",geocode,,33.1
67,Белая Скала 65 км Белогорский,a659f254-5c8e-11ea-0a80-052c001d8996,65,78,,2024-03-04 20:22:50,2024-03-04 20:22:50,0,да,Белая,Скала белогорский,село,632,"45.094002,34.621712",yandex,216114,44.06
68,Белинское 207 км Ленинский,a659f38d-5c8e-11ea-0a80-052c001d8997,207,249,,2024-03-04 20:22:50,2024-03-04 20:22:50,0,да,Белинское,Ленинский,село,368,"45.375111,36.079906",yandex,176899,162.28
69,Белоглинка 21 км Симферопольский,a659f52e-5c8e-11ea-0a80-052c001d8998,21,26,,2024-03-04 20:22:50,2024-03-04 20:22:50,0,да,Белоглинка,Симферопольский,село,1989,"44.9932388,34.0408388",geocode,,6.85
70,Белогорск 62 км Белогорский,a659f67a-5c8e-11ea-0a80-052c001d8999,62,75,,2024-03-04 20:22:50,2024-03-04 20:22:50,62,да,Белогорск,Белогорский,город,16.405,"45.058060,34.599915",yandex,27085,41.13
71,Белокаменное 69 км Бахчисарайский,a659f7e7-5c8e-11ea-0a80-052c001d899a,69,83,,2024-03-04 20:22:51,2024-03-04 20:22:51,0,да,Белокаменное,Бахчисарайский,село,416,"44.6813848,33.8408298",geocode,,36.04
72,Береговое 129 км Ялта,a659f924-5c8e-11ea-0a80-052c001d899b,129,155,,2024-03-04 20:22:51,2024-03-04 20:22:51,0,да,Береговое,Ялта,пгт,390,"44.4074609,33.8681247",geocode,,62.86
73,Береговое 139 км Феодосия,a659fa5c-5c8e-11ea-0a80-052c001d899c,139,167,,2024-03-04 20:22:51,2024-03-04 20:22:51,0,да,Береговое,Феодосия,село,2377,"45.0944056,35.4339258",geocode,,106.05
74,Береговое 70 км Бахчисарайский,a659fb94-5c8e-11ea-0a80-052c001d899d,70,84,,2024-03-04 20:22:51,2024-03-04 20:22:51,0,да,Береговое,Бахчисарайский,село,787,"44.901516,33.621613",yandex,27121,38.04
75,Берёзовка 102 км Раздольненский,a659fcd8-5c8e-11ea-0a80-052c001d899e,102,123,,2024-03-04 20:22:51,2024-03-04 20:22:51,0,да,Берёзовка,Раздольненский,село,1308,"45.577637,33.344021",yandex,27111,91.65
76,Битумное 31 км Симферополь,a659fe19-5c8e-11ea-0a80-052c001d899f,31,38,,2024-03-04 20:22:51,2024-03-04 20:22:51,0,да,Битумное,Симферополь,посёлок,242,"45.0197476,34.0449895",geocode,,09.06
77,Благодатное 99 км Джанкойский,a65a0003-5c8e-11ea-0a80-052c001d89a0,99,119,,2024-03-04 20:22:51,2024-03-04 20:22:51,99,да,Благодатное,Джанкойский,село,90,"45.6768417,34.7702991",geocode,,96.47
78,Ближнегородское 67 км Джанкойский,a65a0165-5c8e-11ea-0a80-052c001d89a1,67,81,,2024-03-04 20:22:51,2024-03-04 20:22:51,67,да,Ближнегородское,Джанкойский,село,584,"45.6386147,34.3783224",geocode,,79.78
79,Ближнее 128 км Феодосия,a65a02a5-5c8e-11ea-0a80-052c001d89a2,128,154,,2024-03-04 20:22:51,2024-03-04 20:22:51,0,да,Ближнее,Феодосия,село,2779,"45.0564369,35.3349653",geocode,,97.8
80,Ближнее 54 км Красногвардейский,a65a03e9-5c8e-11ea-0a80-052c001d89a3,54,65,,2024-03-04 20:22:51,2024-03-04 20:22:51,0,да,Ближнее,Красногвардейский,село,963,"45.522301,34.297894",yandex,216288,65.67
81,Ближнее 78 км Джанкойский,a65a055d-5c8e-11ea-0a80-052c001d89a4,78,94,,2024-03-04 20:22:51,2024-03-04 20:22:51,0,да,Ближнее,Джанкойский,село,345,"45.5715472,34.5737085",geocode,,78.58
82,Богатовка 130 км Судак,a65a06de-5c8e-11ea-0a80-052c001d89a5,130,156,,2024-03-04 20:22:51,2024-03-04 20:22:51,0,да,Богатовка,Судак,село,902,"44.8698423,35.0587909",geocode,,75.97
83,Богатое 76 км Белогорский,a65a082d-5c8e-11ea-0a80-052c001d89a6,76,92,,2024-03-04 20:22:51,2024-03-04 20:22:51,0,да,Богатое,Белогорский,село,973,"45.030842,34.767502",yandex,27161,53.26
84,Богатое Ущелье 89 км Бахчисарайский,a65a0a3f-5c8e-11ea-0a80-052c001d89a7,89,107,,2024-03-04 20:22:51,2024-03-04 20:22:51,0,да,Богатое,Ущелье бахчисарайский,село,104,"44.5574453,33.8711724",geocode,,47.06
85,Богатырь 92 км Бахчисарайский,a65a0bb8-5c8e-11ea-0a80-052c001d89a8,92,111,,2024-03-04 20:22:51,2024-03-04 20:22:51,92,да,Богатырь,Бахчисарайский,село,164,"44.580093,34.0085574",geocode,,41.57
86,Богачёвка 122 км Красноперекопский,a65a0d05-5c8e-11ea-0a80-052c001d89a9,122,147,,2024-03-04 20:22:52,2024-03-04 20:22:52,0,да,Богачёвка,Красноперекопский,село,57,"45.8884668,34.1157875",geocode,,104.54
87,Болотное 81 км Джанкойский,a65a0e49-5c8e-11ea-0a80-052c001d89aa,81,98,,2024-03-04 20:22:52,2024-03-04 20:22:52,0,да,Болотное,Джанкойский,село,238,"45.7355275,34.4545534",geocode,,91.8
88,Большое Садовое 74 км Бахчисарайски,a65a0fa4-5c8e-11ea-0a80-052c001d89ab,74,89,,2024-03-04 20:22:52,2024-03-04 20:22:52,0,да,Большое,Садовое бахчисарайский,село,397,"44.6392576,33.8287043",geocode,,40.49
89,Бондаренково 227 км Ленинский,a65a10ec-5c8e-11ea-0a80-052c001d89ac,227,273,,2024-03-04 20:22:52,2024-03-04 20:22:52,0,да,Бондаренково,Ленинский,село,600,"45.4005606,36.4896515",geocode,,193.89
90,Бондаренково 85 км Алушта,a65a12d9-5c8e-11ea-0a80-052c001d89ad,85,102,,2024-03-04 20:22:52,2024-03-04 20:22:52,0,да,Бондаренково,Алушта,посёлок,30,"44.6097898,34.3737067",geocode,,43.37
91,Борисовка 219 км Ленинский,a65a142d-5c8e-11ea-0a80-052c001d89ae,219,263,,2024-03-04 20:22:52,2024-03-04 20:22:52,0,да,Борисовка,Ленинский,село,10,"45.1010916,36.2333312",dadata,,168.47
92,Бородино 88 км Джанкойский,a65a156d-5c8e-11ea-0a80-052c001d89af,88,106,,2024-03-04 20:22:52,2024-03-04 20:22:52,0,да,Бородино,Джанкойский,село,568,"45.638141,34.6751473",geocode,,88.91
93,Ботаническое 108 км Раздольненский,a65a16cb-5c8e-11ea-0a80-052c001d89b0,108,130,,2024-03-04 20:22:52,2024-03-04 20:22:52,0,да,Ботаническое,Раздольненский,село,1661,"45.786343,33.547882",yandex,177045,102.69
94,Братское 97 км Красноперекопский,a65a1814-5c8e-11ea-0a80-052c001d89b1,97,117,,2024-03-04 20:22:52,2024-03-04 20:22:52,0,да,Братское,Красноперекопский,село,1005,"45.832176,33.921211",yandex,176673,99.27
95,Братское 63 км Первомайский,a65a194e-5c8e-11ea-0a80-052c001d89b2,63,76,,2024-03-04 20:22:52,2024-03-04 20:22:52,0,да,Братское,Первомайский,село,345,"45.5869697,33.9334858",geocode,,72.2
96,Брянское 59 км Бахчисарайский,a65a1a88-5c8e-11ea-0a80-052c001d89b3,59,71,,2024-03-04 20:22:52,2024-03-04 20:22:52,0,да,Брянское,Бахчисарайский,село,910,"44.8663075,33.8047416",geocode,,24.99
97,Буревестник 78 км Нижнегорский,a65a1bc7-5c8e-11ea-0a80-052c001d89b4,78,94,,2024-03-04 20:22:52,2024-03-04 20:22:52,0,да,Буревестник,Нижнегорский,село,311,"45.4448235,34.6510202",geocode,,70.07
98,Валентиново 35 км Сакский,a65a1cf7-5c8e-11ea-0a80-052c001d89b5,35,42,,2024-03-04 20:22:52,2024-03-04 20:22:52,0,да,Валентиново,Сакский,село,253,"45.1384506,33.8357978",geocode,,29.65
99,Варваровка 122 км Советский,a65a1e36-5c8e-11ea-0a80-052c001d89b6,122,147,,2024-03-04 20:22:52,2024-03-04 20:22:52,0,да,Варваровка,Советский,село,595,"45.3226257,34.895766",dadata,,75
100,Васильевка 77 км Белогорский,a65a1f78-5c8e-11ea-0a80-052c001d89b7,77,93,,2024-03-04 20:22:52,2024-03-04 20:22:52,0,да,Васильевка,Белогорский,село,1331,"45.139828,34.725300",yandex,176503,53.52
101,Васильковое 131 км Кировский,a65a20d0-5c8e-11ea-0a80-052c001d89b8,131,158,,2024-03-04 20:22:53,2024-03-04 20:22:53,0,да,Васильковое,Кировский,село,281,"45.2036442,35.3137255",geocode,,99.41
102,Великое 78 км Сакский,a65a220c-5c8e-11ea-0a80-052c001d89b9,78,94,,2024-03-04 20:22:53,2024-03-04 20:22:53,0,да,Великое,Сакский,село,438,"45.3071165,33.3497053",geocode,,71.12
103,Великоселье 93 км Нижнегорский,a65a233f-5c8e-11ea-0a80-052c001d89ba,93,112,,2024-03-04 20:22:53,2024-03-04 20:22:53,0,да,Великоселье,Нижнегорский,село,346,"45.622776,34.747295",yandex,27229,90.47
104,Вересаево 79 км Сакский,a65a2481-5c8e-11ea-0a80-052c001d89bb,79,95,,2024-03-04 20:22:53,2024-03-04 20:22:53,0,да,Вересаево,Сакский,село,1708,"45.304405,33.500160",yandex,177065,61.52
105,Верхнезаморское 199 км Ленинский,a65a2663-5c8e-11ea-0a80-052c001d89bc,199,239,,2024-03-04 20:22:53,2024-03-04 20:22:53,0,да,Верхнезаморское,Ленинский,село,86,"45.3683052,36.028021",geocode,,158.18
106,Верхнекурганное 41 км Симферопольск,a65a296b-5c8e-11ea-0a80-052c001d89bd,41,50,,2024-03-04 20:22:53,2024-03-04 20:22:53,0,да,Верхнекурганное,Симферопольский,село,634,"45.0878087,34.2430031",geocode,,19.14
107,Верхние Орешники 42 км Белогорский,a65a2b07-5c8e-11ea-0a80-052c001d89be,42,51,,2024-03-04 20:22:53,2024-03-04 20:22:53,0,да,Верхние,Орешники белогорский,село,212,"45.0096165,34.2927697",geocode,,16.6
108,Верхняя Кутузовка 66 км Алушта,a65a2c57-5c8e-11ea-0a80-052c001d89bf,66,80,,2024-03-04 20:22:53,2024-03-04 20:22:53,0,да,Верхняя,Кутузовка алушта,село,751,"44.722238,34.3734852",geocode,,33.09
109,Верхоречье 74 км Бахчисарайский,a65a2f25-5c8e-11ea-0a80-052c001d89c0,74,89,,2024-03-04 20:22:53,2024-03-04 20:22:53,0,да,Верхоречье,Бахчисарайский,село,1126,"44.697575,33.987274",yandex,176430,29.26
110,Вершинное 37 км Сакский,a65a31b1-5c8e-11ea-0a80-052c001d89c1,37,45,,2024-03-04 20:22:53,2024-03-04 20:22:53,0,да,Вершинное,Сакский,село,158,"45.2229338,33.7544226",geocode,,40.87
111,Весёловка 88 км Сакский,a65a3338-5c8e-11ea-0a80-052c001d89c2,88,106,,2024-03-04 20:22:53,2024-03-04 20:22:53,0,да,Весёловка,Сакский,село,1390,"45.377052,33.213959",yandex,177066,84.27
112,Весёлое 128 км Судак,a65a34b9-5c8e-11ea-0a80-052c001d89c3,128,154,,2024-03-04 20:22:53,2024-03-04 20:22:53,0,да,Весёлое,Судак,село,1675,"44.850467,34.976183",geocode,,69.83
113,Весёлое 18 км Симферопольский,a65a37af-5c8e-11ea-0a80-052c001d89c4,18,22,,2024-03-04 20:22:53,2024-03-04 20:22:53,0,да,Весёлое,Симферопольский,село,137,"45.0076817,33.9590863",geocode,,12.93
114,Весёлое 71 км Джанкойский,a65a3ae1-5c8e-11ea-0a80-052c001d89c5,71,86,,2024-03-04 20:22:53,2024-03-04 20:22:53,0,да,Весёлое,Джанкойский,село,203,"45.5949533,34.3186327",geocode,,73.9
115,Ветвистое 90 км Джанкойский,a65a3dff-5c8e-11ea-0a80-052c001d89c6,90,108,,2024-03-04 20:22:53,2024-03-04 20:22:53,0,да,Ветвистое,Джанкойский,село,62,"45.7933301,34.4168358",geocode,,97.15
116,Ветровка 71 км Сакский,a65a42ac-5c8e-11ea-0a80-052c001d89c7,71,86,,2024-03-04 20:22:54,2024-03-04 20:22:54,0,да,Ветровка,Сакский,село,27,"45.3595578,33.6372462",geocode,,58.39
117,Ветрянка 102 км Раздольненский,a65a4870-5c8e-11ea-0a80-052c001d89c8,102,123,,2024-03-04 20:22:54,2024-03-04 20:22:54,0,да,Ветрянка,Раздольненский,село,104,"45.6591022,33.5743856",geocode,,89.09
118,Видное 119 км Кировский,a65a4bc6-5c8e-11ea-0a80-052c001d89c9,119,143,,2024-03-04 20:22:54,2024-03-04 20:22:54,0,да,Видное,Кировский,село,0,"45.0932723,35.2440129",geocode,,91.31
